step,t,y_FE,y_true,abs_error
0,0.0,1.0,1.0,0.0
1,0.1,0.5,0.6065306597126334,0.10653065971263342
2,0.2,0.25,0.36787944117144233,0.11787944117144233
3,0.30000000000000004,0.125,0.2231301601484298,0.09813016014842979
4,0.4,0.0625,0.1353352832366127,0.0728352832366127
5,0.5,0.03125,0.0820849986238988,0.0508349986238988
6,0.6,0.015625,0.049787068367863944,0.034162068367863944
7,0.7,0.0078125,0.0301973834223185,0.0223848834223185
8,0.7999999999999999,0.00390625,0.01831563888873419,0.014409388888734189
9,0.8999999999999999,0.001953125,0.011108996538242306,0.009155871538242306
10,0.9999999999999999,0.0009765625,0.006737946999085473,0.005761384499085473
11,1.0999999999999999,0.00048828125,0.004086771438464071,0.003598490188464071
12,1.2,0.000244140625,0.0024787521766663585,0.0022346115516663585
13,1.3,0.0001220703125,0.0015034391929775724,0.0013813688804775724
14,1.4000000000000001,6.103515625e-05,0.0009118819655545154,0.0008508468093045154
15,1.5000000000000002,3.0517578125e-05,0.0005530843701478331,0.0005225667920228331
16,1.6000000000000003,1.52587890625e-05,0.00033546262790251126,0.00032020383884001126
17,1.7000000000000004,7.62939453125e-06,0.00020346836901064382,0.00019583897447939382
18,1.8000000000000005,3.814697265625e-06,0.00012340980408667932,0.00011959510682105432
19,1.9000000000000006,1.9073486328125e-06,7.485182988770033e-05,7.294448125488783e-05
20,2.0000000000000004,9.5367431640625e-07,4.539992976248477e-05,4.444625544607852e-05
21,2.1000000000000005,4.76837158203125e-07,2.753644934974706e-05,2.7059612191543935e-05
22,2.2000000000000006,2.384185791015625e-07,1.6701700790245598e-05,1.6463282211144036e-05
23,2.3000000000000007,1.1920928955078125e-07,1.0130093598630675e-05,1.0010884309079894e-05
24,2.400000000000001,5.960464477539063e-08,6.144212353328188e-06,6.084607708552797e-06
25,2.500000000000001,2.9802322387695312e-08,3.726653172078658e-06,3.6968508496909625e-06
26,2.600000000000001,1.4901161193847656e-08,2.2603294069810424e-06,2.2454282457871947e-06
27,2.700000000000001,7.450580596923828e-09,1.370959086384077e-06,1.3635085057871532e-06
28,2.800000000000001,3.725290298461914e-09,8.315287191035634e-07,8.278034288051015e-07
29,2.9000000000000012,1.862645149230957e-09,5.043476625678845e-07,5.024850174186536e-07
30,3.0000000000000013,9.313225746154785e-10,3.059023205018236e-07,3.0497099792720814e-07
31,3.1000000000000014,4.656612873077393e-10,1.855391362615965e-07,1.8507347497428877e-07
32,3.2000000000000015,2.3283064365386963e-10,1.1253517471925831e-07,1.1230234407560444e-07
33,3.3000000000000016,1.1641532182693481e-10,6.825603376334821e-08,6.813961844152127e-08
34,3.4000000000000017,5.820766091346741e-11,4.139937718785137e-08,4.13411695269379e-08
35,3.5000000000000018,2.9103830456733704e-11,2.510999155743964e-08,2.5080887726982907e-08
36,3.600000000000002,1.4551915228366852e-11,1.5229979744712467e-08,1.52154278294841e-08
37,3.700000000000002,7.275957614183426e-12,9.237449661970497e-09,9.230173704356313e-09
38,3.800000000000002,3.637978807091713e-12,5.6027964375372074e-09,5.599158458730116e-09
39,3.900000000000002,1.8189894035458565e-12,3.398267819495035e-09,3.3964488300914892e-09
40,4.000000000000002,9.094947017729282e-13,2.061153622438543e-09,2.06024412773677e-09
41,4.100000000000001,4.547473508864641e-13,1.2501528663867337e-09,1.2496981190358472e-09
42,4.200000000000001,2.2737367544323206e-13,7.582560427911853e-10,7.58028669115742e-10
43,4.300000000000001,1.1368683772161603e-13,4.5990553786523006e-10,4.5979185102750845e-10
44,4.4,5.684341886080802e-14,2.7894680928689246e-10,2.7888996586803166e-10
45,4.5,2.842170943040401e-14,1.6918979226151304e-10,1.6916137055208264e-10
46,4.6,1.4210854715202004e-14,1.026187963170189e-10,1.026045854623037e-10
47,4.699999999999999,7.105427357601002e-15,6.224144622907806e-11,6.223434080172046e-11
48,4.799999999999999,3.552713678800501e-15,3.775134544279125e-11,3.774779272911245e-11
49,4.899999999999999,1.7763568394002505e-15,2.289734845645569e-11,2.289557209961629e-11
50,4.999999999999998,8.881784197001252e-16,1.388794386496412e-11,1.388705568654442e-11
51,5.099999999999998,4.440892098500626e-16,8.423463754468738e-12,8.423019665258888e-12
52,5.1999999999999975,2.220446049250313e-16,5.109089028063397e-12,5.108866983458472e-12
53,5.299999999999997,1.1102230246251565e-16,3.0988191387218696e-12,3.098708116419407e-12
54,5.399999999999997,5.551115123125783e-17,1.87952881653911e-12,1.8794733053878786e-12
55,5.4999999999999964,2.7755575615628914e-17,1.1399918530443756e-12,1.13996409746876e-12
56,5.599999999999996,1.3877787807814457e-17,6.91440010694035e-13,6.914261329062272e-13
57,5.699999999999996,6.938893903907228e-18,4.193795658379634e-13,4.193726269440595e-13
58,5.799999999999995,3.469446951953614e-18,2.5436656473769773e-13,2.5436309529074577e-13
59,5.899999999999995,1.734723475976807e-18,1.542811203191926e-13,1.5427938559571663e-13
60,5.999999999999995,8.673617379884035e-19,9.357622968840441e-14,9.357536232666642e-14
61,6.099999999999994,4.336808689942018e-19,5.6756852326328837e-14,5.675641864545984e-14
62,6.199999999999994,2.168404344971009e-19,3.4424771084700746e-14,3.442455424426625e-14
63,6.299999999999994,1.0842021724855044e-19,2.0879679116460002e-14,2.0879570696242753e-14
64,6.399999999999993,5.421010862427522e-20,1.2664165549094625e-14,1.2664111338986001e-14
65,6.499999999999993,2.710505431213761e-20,7.681204685202368e-15,7.681177580148056e-15
66,6.5999999999999925,1.3552527156068805e-20,4.658886145103563e-15,4.6588725925764065e-15
67,6.699999999999992,6.776263578034403e-21,2.8257572871157317e-15,2.8257505108521537e-15
68,6.799999999999992,3.3881317890172014e-21,1.713908431542086e-15,1.713905043410297e-15
69,6.8999999999999915,1.6940658945086007e-21,1.0395380116702663e-15,1.0395363176043718e-15
70,6.999999999999991,8.470329472543003e-22,6.305116760147258e-16,6.305108289817786e-16
71,7.099999999999991,4.235164736271502e-22,3.8242466280972982e-16,3.824242392932562e-16
72,7.19999999999999,2.117582368135751e-22,2.319522830243685e-16,2.319520712661317e-16
73,7.29999999999999,1.0587911840678754e-22,1.4068617124462167e-16,1.4068606536550326e-16
74,7.39999999999999,5.293955920339377e-23,8.53304762574449e-17,8.53304233178857e-17
75,7.499999999999989,2.6469779601696886e-23,5.175555005802163e-17,5.1755523588242026e-17
76,7.599999999999989,1.3234889800848443e-23,3.1391327920482083e-17,3.139131468559228e-17
77,7.699999999999989,6.617444900424222e-24,1.9039802832865605e-17,1.9039796215420704e-17
78,7.799999999999988,3.308722450212111e-24,1.1548224173016442e-17,1.1548220864293992e-17
79,7.899999999999988,1.6543612251060553e-24,7.004352026169043e-18,7.004350371807818e-18
80,7.999999999999988,8.271806125530277e-25,4.248354255291861e-18,4.248353428111248e-18
81,8.099999999999987,4.1359030627651384e-25,2.576757109155146e-18,2.5767566955648396e-18
82,8.199999999999987,2.0679515313825692e-25,1.5628821893350887e-18,1.5628819825399356e-18
83,8.299999999999986,1.0339757656912846e-25,9.479359653505429e-19,9.479358619529663e-19
84,8.399999999999986,5.169878828456423e-26,5.749522264293968e-19,5.749521747306085e-19
85,8.499999999999986,2.5849394142282115e-26,3.4872615319946945e-19,3.487261273500753e-19
86,8.599999999999985,1.2924697071141057e-26,2.1151310375912307e-19,2.11513090834426e-19
87,8.699999999999985,6.462348535570529e-27,1.2828918236088761e-19,1.2828917589853908e-19
88,8.799999999999985,3.2311742677852644e-27,7.781132241134404e-20,7.781131918016978e-20
89,8.899999999999984,1.6155871338926322e-27,4.719495271526492e-20,4.7194951099677787e-20
90,8.999999999999984,8.077935669463161e-28,2.8625185805496175e-20,2.862518499770261e-20
91,9.099999999999984,4.0389678347315804e-28,1.7362052831004428e-20,1.7362052427107644e-20
92,9.199999999999983,2.0194839173657902e-28,1.053061735755471e-20,1.0530617155606318e-20
